"","LIBNAME","STABR","C_LEGBAS","POPU_LSA","CENTLIB","BRANLIB","BKMOB","MASTER","LIBRARIA","TOTINCM","CAP_REV","PRMATEXP","ELMATEXP","OTHMATEX","CAPITAL","BKVOL","EBOOK","VIDEO_PH","AUDIO_PH","VIDEO_DL","AUDIO_DL","VISITS","REGBOR","ELMATCIR","PHYSCIR","KIDCIRCL","PITUSR","LOANTO","LOANFM"
"4106","WIXOM PUBLIC LIBRARY","MI","CI",17193,1,0,0,6.1,6.1,963583,0,65621,40150,20776,0,48172,69100,5835,4129,0,29854,18665,5120,21883,121336,56166,5868,21037,20410
"4107","WOLVERINE COMMUNITY LIBRARY","MI","LD",2874,1,0,0,0,0.88,95068,0,11918,530,1566,10598,33592,0,1695,470,0,0,6044,432,0,6245,2112,793,0,60
"4108","GEORGE W. SPINDLER MEMORIAL LIBRARY","MI","CI",1994,1,0,0,0,0.5,46317,0,3406,398,1763,12984,12964,0,731,183,0,0,1569,366,0,6804,4661,139,94,60
"4109","YPSILANTI DISTRICT LIBRARY","MI","LD",88021,1,2,1,20,20,6086566,666565,133867,274827,60928,4340334,203287,54357,25962,15452,26121,72553,186177,32220,151731,428678,228655,30760,10502,9634
"4110","HOWARD MILLER LIBRARY","MI","CI",25071,1,0,0,2.5,10.5,971314,0,65052,45455,7215,27203,61429,32805,6010,5721,663,13731,80558,9299,41074,310141,192730,2773,11847,12854
"4111","NORTHFIELD TOWNSHIP AREA LIBRARY","MI","CI",8697,1,0,0,0,0,691564,0,18442,14811,971,81093,19160,520950,3049,1482,0,372320,9582,8532,5460,30719,14586,570,1447,2189
"4112","REESE UNITY DISTRICT LIBRARY","MI","LD",5134,1,0,0,0.88,3.5,289708,35518,21582,1030,2147,18905,25908,19292,1224,605,0,4975,8603,2346,1960,15828,5692,387,1100,1596
"4113","CLINTON-MACOMB PUBLIC LIBRARY","MI","LD",184879,1,2,0,25.2,25.2,8867403,0,337000,412104,234743,913327,247618,21742,41505,35054,154,8254,227195,151390,162670,965549,461183,19351,15302,9118
"4114","MASON COUNTY DISTRICT LIBRARY","MI","LD",28990,1,1,0,1.88,17.5,1273770,0,71103,23621,19937,44405,57290,29920,6985,1712,1467,6922,45799,14570,36888,136395,32157,3864,5456,7172
"4115","REDFORD TOWNSHIP DISTRICT LIBRARY","MI","LD",49504,1,0,0,7.35,8.35,2382596,0,119141,72189,36790,1023206,86569,69039,8598,7782,1035,40937,72932,13039,31689,147067,45921,12646,36281,20280
"4116","WAYNE PUBLIC LIBRARY","MI","CI",17713,1,0,0,2.98,2.98,818827,43142,44337,12998,11692,390623,58619,69051,6348,4476,957,30563,30890,2083,6487,33724,8909,7911,13852,4800
"4117","ADDISON TOWNSHIP PUBLIC LIBRARY","MI","CI",6256,1,0,0,1.18,1.18,324578,0,11000,4000,2000,0,27000,20000,2350,1700,250,2500,17500,1587,4016,12685,4984,200,25957,21568
"4118","ADRIAN DISTRICT LIBRARY","MI","CI",20645,1,0,0,3,3,1068700,0,60313,102770,9683,8308,45350,24052,3884,2098,515,9799,79749,5651,14356,38765,12932,7244,1927,1925
"4119","ALANSON AREA PUBLIC LIBRARY","MI","LD",11331,1,0,0,0,0,92222,0,11886,3686,616,0,16012,11718,1091,620,286,6258,7100,1813,2627,11057,1282,632,1426,1558
"4120","ALBION DISTRICT LIBRARY","MI","LD",10460,1,0,0,2.35,2.35,697716,0,15609,3332,9132,19405,26188,97228,7518,1283,0,48839,15933,2614,5602,18925,2693,1114,1240,1394
"4121","ALCONA COUNTY LIBRARY","MI","CO",9080,1,3,0,1,2.75,505359,0,17451,7605,4559,95699,43267,22302,3808,2483,1835,4005,22942,3275,7871,27523,7105,1276,6288,8103
"4122","ALLEGAN DISTRICT LIBRARY","MI","LD",18279,1,0,0,3,5,1221098,0,33782,48228,9793,21509,33540,21911,3032,795,668,8202,72412,3783,13346,34480,17328,6188,2023,2128
"4123","ALLENDALE TOWNSHIP LIBRARY","MI","CI",35384,1,0,0,2,2,434869,0,33193,19114,6000,0,41122,30312,5007,2664,811,12643,26797,5796,33034,137693,82411,1401,8396,10747
"4124","ALMA PUBLIC LIBRARY","MI","CI",12022,1,0,0,2,4,842230,0,42526,8450,20585,35675,85067,21157,3061,1451,0,6170,65247,17275,7681,37978,20339,6226,2009,2851
"4125","ALPENA COUNTY LIBRARY","MI","CO",28907,1,0,0,2,9.19,1354192,250,37337,9042,1061,2500,60462,11428,2477,1477,30005,6297,7200,8981,17103,59028,26590,44333,7632,8706
"4126","WILLIAM P. FAUST PUBLIC LIBRARY OF WESTLAND","MI","CI",85420,1,0,0,14.4,14.4,3306503,0,412072,163436,44061,0,118765,23389,13566,9577,76,11897,170060,25740,54268,237194,112619,21825,3676,3645
"4127","CHESTERFIELD TOWNSHIP LIBRARY","MI","CI",45376,1,0,0,6.16,6.16,3249762,313,75002,41432,20779,40176,65680,60402,7219,5478,695,27841,36919,17816,37595,182450,45780,3730,28921,24884
"4128","CURTIS TOWNSHIP LIBRARY","MI","CI",1087,1,0,0,0.15,0.15,53236,0,1295,785,152,9097,12032,9947,1857,360,254,5542,2098,597,465,1907,162,532,512,172
"4129","MCBAIN COMMUNITY LIBRARY","MI","SD",5757,1,0,0,0,0.94,145946,0,11500,2235,6345,5750,16193,36136,2161,1010,0,8877,26900,5924,5500,19111,12302,640,625,2472
"4130","FLAT ROCK PUBLIC LIBRARY","MI","CI",18778,1,0,0,2.1,2.1,427107,0,18710,40895,2777,83601,52992,68600,5357,6097,823,29600,39066,2659,6065,49987,30281,6240,19117,12615
"4131","LEIGHTON TOWNSHIP LIBRARY","MI","CI",7001,1,0,0,0,3.35,380597,10335,24357,2644,10902,769061,26815,14826,5685,2140,0,13016,17220,1484,7025,63666,34558,904,4420,2995
"4132","SALEM TOWNSHIP LIBRARY","MI","CI",8289,1,0,0,0,3.43,253260,0,20638,6678,10224,29070,14896,16370,913,513,155,15145,13077,1616,10979,66875,32427,395,3954,4548
"4133","CAPITAL AREA DISTRICT LIBRARY","MI","LD",244451,1,12,1,41.63,41.63,12468737,0,744758,875502,216830,333528,383462,160013,85811,43653,52736,138331,414482,86026,659969,1199281,485731,39253,38663,35598
"4134","DEARBORN HEIGHTS CITY LIBRARIES","MI","CI",63292,1,1,0,9,9,2738959,0,101189,41495,35002,550618,123356,18324,14955,8062,2245,3126,230000,7778,16755,155994,66969,24910,39902,35025
"4135","COMMERCE TOWNSHIP COMMUNITY LIBRARY","MI","CI",43058,1,0,0,10.8,10.8,2138692,0,185432,143058,0,3968,70146,67919,11774,8223,1683,37705,71229,15043,70041,190978,99530,3171,40928,33753
"4136","RAY TOWNSHIP PUBLIC LIBRARY","MI","CI",3780,1,0,0,0,0.66,126023,0,5478,2168,2384,16322,10274,19156,1542,406,32,5213,5792,1392,2893,13427,4076,358,3845,3735
"4137","SCHULTZ-HOLMES MEMORIAL LIBRARY","MI","CI",7020,1,0,0,0,2,284085,0,19599,8580,2559,20884,23823,24973,4223,502,1,6675,22720,3336,3381,11961,3336,844,424,1032
"4138","CROTON TOWNSHIP LIBRARY","MI","CI",3368,1,0,0,0,0.75,110004,0,13394,1800,18372,0,13401,15360,2464,1052,0,4641,4212,942,645,13470,2318,1320,1407,1649
"4139","BELLEVILLE AREA DISTRICT LIBRARY","MI","LD",44043,1,1,0,8.69,8.69,2238723,3511,107350,47300,23779,490040,84466,70638,6694,6293,1262,33579,97607,10319,30024,209355,107055,11537,15356,19415
"4140","LEANNA HICKS PUBLIC LIBRARY OF INKSTER","MI","CI",26088,1,0,0,0,0,476489,0,16455,0,22,0,27265,68600,429,613,823,29600,11321,3228,1749,5451,2478,4097,5075,831
"4141","SHERMAN TOWNSHIP LIBRARY","MI","CI",5712,1,0,0,0,1,93408,0,3108,1052,0,0,16100,23227,2342,145,0,6414,3725,2388,2212,6951,1818,311,875,1531
"4142","ROMULUS PUBLIC LIBRARY","MI","CI",42122,1,0,0,4,4,1094962,15994,55017,16540,17326,543596,40306,41983,4397,2226,814,12167,37710,8653,14039,89790,48034,6116,11872,3557
"4143","SOUTHGATE VETERANS MEMORIAL LIBRARY","MI","CI",30014,1,0,0,3,3,689777,0,48138,12460,15338,41662,71898,69452,7873,9129,1142,30747,36018,5277,14551,83192,24869,9527,11510,11365
"4144","HARRISON TOWNSHIP PUBLIC LIBRARY","MI","CI",24314,1,0,0,2.5,2.5,522383,0,33817,25037,8443,0,21640,17079,4155,1958,173,3855,26426,8787,22308,36241,9637,1788,1258,1976
"4145","GOODLAND TOWNSHIP LIBRARY","MI","CI",1735,1,0,0,0,0.75,6341,0,3131,0,399,0,6387,0,717,93,0,0,696,198,0,781,313,30,61,126
"4146","SEBEWAING TOWNSHIP LIBRARY","MI","CI",3958,1,0,0,0,0.88,123280,0,9497,841,2152,4742,19923,7565,2555,952,0,6333,11250,1991,1556,14406,2590,134,1524,1809
"4147","DELTA TOWNSHIP DISTRICT LIBRARY","MI","LD",33620,1,0,0,5,11,1813601,33793,59321,46074,6332,217990,63304,51154,4953,5201,816,4762,75000,30495,57556,227171,71724,7000,4842,9794
"4148","ASHLEY DISTRICT LIBRARY","MI","LD",2888,1,0,0,0,1,60031,0,10293,100,6002,8400,11825,17000,358,49,0,4260,6000,736,150,5991,5850,2800,28,87
"4149","AMASA COMMUNITY LIBRARY","MI","CI",845,1,0,0,0.07,0.55,58312,0,4286,497,862,6803,8837,54094,990,242,304,30639,2596,488,708,4057,1599,327,1155,895
"4150","PATMOS LIBRARY","MI","CI",9630,1,0,0,0.75,2.85,236615,0,30006,8550,0,10000,44422,9548,2833,580,0,3885,20845,4078,5644,145197,87468,825,5605,8348
"4151","ALLEN PARK PUBLIC LIBRARY","MI","CI",28638,1,0,0,1.75,1.75,711432,0,39064,31007,18908,151601,51277,70436,7135,5461,2194,32845,15078,6366,17827,66965,37513,4240,17295,12463
"4152","MELVINDALE PUBLIC LIBRARY","MI","CI",12851,1,0,0,1.43,1.43,302125,0,13969,5822,122,10109,28631,72377,2116,528,0,31483,6688,996,2310,11273,6868,1595,7516,1794
"4153","RIVER ROUGE PUBLIC LIBRARY","MI","CI",7224,1,0,0,0.95,0.95,343442,0,4190,436,276,21491,25439,153,1828,380,49,2,2200,983,204,10049,4775,1071,5360,646
"4154","TRENTON VETERANS MEMORIAL LIBRARY","MI","CI",75467,1,0,0,4.73,6.45,986166,4483,64123,37258,6537,58605,94265,68600,3782,5530,823,29600,87222,15282,54976,160926,76546,6883,31244,28527
"4155","ECORSE PUBLIC LIBRARY","MI","CI",9305,1,0,0,1,2,427774,0,60,2907,0,249763,15000,74625,513,146,0,33737,0,448,99,0,0,0,0,0
"4156","FRUITPORT DISTRICT LIBRARY","MI","LD",14575,1,0,0,1,2.73,446748,4002,9818,8772,0,163,15235,725868,1080,355,25545,529774,8928,1812,3185,33077,15178,450,4423,5696
"4157","MARENISCO TOWNSHIP LIBRARY","MI","CI",455,1,0,0,0.04,0.29,34672,0,2308,267,464,3663,4758,54094,533,130,163,16498,1398,263,381,2185,861,176,622,482
"4158","TAYLOR COMMUNITY LIBRARY","MI","CI",63409,1,0,0,4,5,1159668,0,62781,28373,14910,0,90115,60881,6474,3235,2290,24282,52529,9004,24369,96384,42727,4897,16384,22525
"4159","LINCOLN PARK PUBLIC LIBRARY","MI","CI",40245,1,0,0,2,2,485917,0,37571,9127,2891,30103,35988,4183,2979,1991,0,0,14400,6899,8346,28404,14646,7432,8833,4989
"4160","BATH TOWNSHIP PUBLIC LIBRARY","MI","CI",13292,1,0,0,1,2.63,429155,0,18328,2573,4990,73300,12045,0,1437,302,0,0,5641,2837,0,13775,8233,726,642,728
"4161","ARROWHEAD LIBRARY SYSTEM","MN","MJ",312549,0,0,1,4,4,3461024,0,86056,195129,21702,177510,28798,62086,3783,1248,0,15681,3814,23046,113183,70794,7719,0,16007,10693
"4162","AURORA PUBLIC LIBRARY","MN","CI",1688,1,0,0,0,0.87,161203,0,8133,712,2991,0,18959,62086,1944,964,0,15681,9100,788,1430,22098,4997,800,2934,2530
"4163","BABBITT PUBLIC LIBRARY","MN","CI",1400,1,0,0,0,0.87,172261,0,7736,0,1547,0,14103,62086,2300,189,0,15681,10307,775,2561,9502,2755,2958,3825,637
