"","LIBNAME","STABR","C_LEGBAS","POPU_LSA","CENTLIB","BRANLIB","BKMOB","MASTER","LIBRARIA","TOTINCM","CAP_REV","PRMATEXP","ELMATEXP","OTHMATEX","CAPITAL","BKVOL","EBOOK","VIDEO_PH","AUDIO_PH","VIDEO_DL","AUDIO_DL","VISITS","REGBOR","ELMATCIR","PHYSCIR","KIDCIRCL","PITUSR","LOANTO","LOANFM"
"2117","NORTH CHICAGO PUBLIC LIBRARY","IL","CI",30759,1,0,1,5,5,853487,0,29505,19353,2514,0,47582,221,2479,1274,0,38,8934,2827,73,4306,1811,6350,33,105
"2118","NORTH RIVERSIDE PUBLIC LIBRARY DISTRICT","IL","LD",7426,1,0,0,4.75,4.75,1393106,0,45739,19995,15766,0,54967,110253,8637,4862,24685,20596,103437,3297,37799,29877,22597,10394,9235,5486
"2119","NORTH SUBURBAN PUBLIC LIBRARY DISTRICT","IL","LD",69307,1,1,0,9.75,11.75,4652506,0,244877,159773,53841,420349,246691,75843,16665,13612,3177,20123,151377,13047,81391,257141,93461,22329,37757,23681
"2120","NORTHBROOK PUBLIC LIBRARY","IL","CI",35222,1,0,0,24.68,29.75,8596210,0,323408,445371,114550,594204,191951,140632,23514,25182,52805,650055,189214,17546,166362,851467,456598,7228,33308,36327
"2121","NORTHLAKE PUBLIC LIBRARY DISTRICT","IL","LD",26667,1,0,0,7.88,7.88,3025966,0,67328,48271,17073,0,70709,48764,8482,4898,1226,11186,44355,13075,8894,88052,31528,9499,12328,7939
"2122","OAK BROOK PUBLIC LIBRARY","IL","CI",8163,1,0,0,5.8,5.8,990794,0,84113,37200,22783,0,71458,119462,8278,9167,27619,31510,35108,2217,13865,97991,47844,1804,19835,7203
"2123","OAK LAWN PUBLIC LIBRARY","IL","CI",58362,1,0,0,16.21,16.21,5642303,667,173794,180648,53139,152274,144088,82277,25129,16736,3849,45693,80530,33299,60403,343934,121112,17260,54232,31324
"2124","OAK PARK PUBLIC LIBRARY","IL","CI",54583,1,2,0,35,35,9982488,0,315753,622743,140865,321923,214088,104634,35572,13848,55515,62813,198365,42150,363147,826664,518993,11122,52857,83451
"2125","OAKWOOD PUBLIC LIBRARY DISTRICT","IL","LD",5572,1,0,0,0,1,217897,0,11411,3088,570,0,16321,660537,1663,838,24689,172195,10120,791,1599,10106,3425,204,9950,10279
"2126","ODELL PUBLIC LIBRARY DISTRICT","IL","LD",1386,1,0,0,0,0.5,127613,0,10573,1417,5400,3080,18793,64033,3035,791,0,9,3464,265,853,7143,2106,250,1846,1928
"2127","O'FALLON PUBLIC LIBRARY","IL","CI",32289,1,0,0,3,6,1400395,0,64075,61613,22570,0,47329,92000,5480,2484,0,26676,108752,8940,43845,244445,110171,12180,18290,53367
"2128","OGDEN ROSE PUBLIC LIBRARY","IL","CI",729,1,0,0,0,0.9,40065,0,2995,124,0,0,15093,50150,843,193,145,21561,1500,138,25,1810,458,1200,914,617
"2129","OGLESBY PUBLIC LIBRARY DISTRICT","IL","LD",4217,1,0,0,0,1.8,182798,0,8456,1907,1286,0,16913,45340,1535,738,0,18693,10514,567,2053,10587,2596,10514,377,3504
"2130","OHIO PUBLIC LIBRARY DISTRICT","IL","LD",912,1,0,0,0,0.38,88187,0,5470,250,757,32518,8846,38972,1448,11,0,18542,1290,574,393,2647,674,162,5,575
"2131","OLNEY PUBLIC LIBRARY","IL","CI",8701,1,0,0,0,1,339101,0,28497,11692,0,0,36507,100648,905,1047,0,60544,52145,2553,11999,59273,17944,6974,6481,17099
"2132","ONARGA COMMUNITY PUBLIC LIBRARY DISTRICT","IL","LD",1942,1,0,0,0,0.75,114215,0,11328,708,350,0,19427,43855,842,305,0,75181,2339,245,23,3913,939,200,1827,827
"2133","GREIG MEMORIAL LIBRARY","IL","CI",696,1,0,0,0,0.6,13857,0,127,0,0,0,12651,0,0,0,0,0,1643,404,0,1677,188,11,533,541
"2134","OREGON PUBLIC LIBRARY DISTRICT","IL","LD",6108,1,0,0,1,2.8,425705,3821,21281,3509,7787,7242,16448,73000,1614,694,0,15000,10000,1450,4003,24215,4104,1421,2888,5669
"2135","ORLAND PARK PUBLIC LIBRARY","IL","CI",58703,1,0,0,20.51,20.51,6670882,0,188171,177521,172432,433172,203723,40658,30436,11994,9897,15702,202533,19546,94041,372309,151575,11979,1600,10185
"2136","OSWEGO PUBLIC LIBRARY DISTRICT","IL","LD",70508,1,1,0,15.6,20.9,4757862,162321,219194,222918,34143,84499,282532,739481,26192,20050,54070,481684,200452,34828,80485,722454,437951,9913,635,561
"2137","REDDICK PUBLIC LIBRARY DISTRICT","IL","LD",23958,1,0,0,1,3,1584430,0,39708,21704,3375,163671,54906,110604,3305,4470,835,33186,47363,5263,16137,94760,35526,7384,8012,17954
"2138","PALATINE PUBLIC LIBRARY DISTRICT","IL","LD",89395,1,2,0,15.94,24.44,9890366,1104940,280492,384284,115823,3225707,163386,709173,31455,13144,21247,191792,262092,39806,234678,999977,681170,25652,50860,65667
"2139","PALESTINE PUBLIC LIBRARY DISTRICT","IL","LD",2193,1,0,0,0,0.89,150205,0,10076,148,378,0,21956,44009,479,440,32,31448,15106,2199,1990,8665,1732,6786,3819,1282
"2140","PALOS HEIGHTS PUBLIC LIBRARY","IL","CI",12068,1,0,0,8.13,10,1736952,0,76093,71480,11710,119681,57369,75923,4830,4235,1250,20867,57652,5146,32011,81924,40015,1653,11288,14558
"2141","PALOS PARK PUBLIC LIBRARY","IL","CI",4899,1,0,0,1.75,4.76,529581,0,19149,21174,5194,0,22841,92372,2049,567,52435,37256,24960,2377,11265,31839,9430,1273,3452,6305
"2142","CARNEGIE-SCHUYLER LIBRARY","IL","CI",5199,1,0,0,0,1,208745,0,15242,0,1070,0,26917,0,1361,406,0,0,3900,665,0,16264,4286,520,2362,4023
"2143","PARIS CARNEGIE PUBLIC LIBRARY","IL","CI",8291,1,0,0,0,1.75,210656,50000,10771,4925,1216,0,30452,176248,1604,585,702,102132,6500,1057,6304,22449,4047,2180,5041,7097
"2144","PARK FOREST PUBLIC LIBRARY","IL","CI",21687,1,0,0,1.24,6.44,2126591,0,120715,44677,26698,40356,33885,778929,9867,4977,25561,497777,34464,3366,11521,51000,15651,9277,8509,10762
"2145","PARK RIDGE PUBLIC LIBRARY","IL","CI",39656,1,0,0,15.88,15.88,2112416,0,173478,182246,75737,304016,139979,671869,20671,12337,50428,466208,123383,16849,78987,399001,242554,5095,18179,21963
"2146","PATOKA PUBLIC LIBRARY","IL","CI",525,1,0,0,0,0.38,15508,0,3006,0,0,3400,5945,43892,532,22,0,10446,733,64,373,716,249,95,286,538
"2147","PAW PAW PUBLIC LIBRARY DISTRICT","IL","LD",830,1,0,0,0,0.63,38864,0,4220,250,0,0,12943,45340,2208,4,0,18693,2974,343,712,2733,1800,126,0,406
"2148","PAWNEE PUBLIC LIBRARY","IL","CI",2678,1,0,0,0,0.75,152826,0,17509,4734,175,12370,53888,1800,2390,817,0,0,4300,2969,1800,7737,2435,350,0,170
"2149","PAXTON CARNEGIE LIBRARY","IL","CI",4450,1,0,0,0,1,130476,0,11856,5265,854,0,25416,70455,1198,200,156,37250,6099,612,1705,25324,6895,403,10014,12787
"2150","PEARL CITY PUBLIC LIBRARY DISTRICT","IL","LD",2432,1,0,0,0,0.78,97980,0,6372,535,470,0,13231,45340,199,181,0,18693,4940,383,302,4841,2231,3068,1610,1382
"2151","PECATONICA PUBLIC LIBRARY DISTRICT","IL","LD",5512,1,0,0,0,1.5,242091,0,26196,3455,1462,0,35291,60324,3365,436,632,6945,18253,1864,8844,29770,16291,8650,6259,3322
"2152","PEKIN PUBLIC LIBRARY","IL","CI",31731,1,0,0,4,5,1461306,0,78392,59690,23578,2050,103891,67740,8041,7883,28524,23054,65873,9731,21406,160872,65919,13085,12829,12686
"2153","PEORIA PUBLIC LIBRARY","IL","CI",113150,1,4,1,17.28,17.28,7183244,0,467198,233949,84783,87022,420780,82008,21066,33428,8557,32785,189297,14724,109079,597589,247617,24082,76686,73635
"2154","PEORIA HEIGHTS PUBLIC LIBRARY","IL","CI",5908,1,0,0,2,2,678681,0,44824,1913,6458,2083,33414,66562,2240,1988,0,22895,19404,1254,1022,37349,17334,8196,5046,3683
"2155","PEOTONE PUBLIC LIBRARY DISTRICT","IL","LD",16851,1,0,0,1,3.65,679820,0,34205,19905,3654,0,54761,770717,4430,1101,25205,202119,26742,3596,12629,35108,15782,1404,155,7066
"2156","PERU PUBLIC LIBRARY","IL","CI",9896,1,0,0,2,4,831815,0,31259,2602,4318,0,36186,65000,3207,2486,1078,25000,39248,2675,819,52886,24170,4397,5415,8081
"2157","PETERSBURG PUBLIC LIBRARY","IL","CI",2258,1,0,0,0,1.88,143678,0,11233,2482,78,0,16374,73254,850,818,103,36426,8878,375,3203,25030,11344,300,2759,6744
"2158","PHILO PUBLIC LIBRARY DISTRICT","IL","LD",1906,1,0,0,0.55,0.95,109588,0,8644,744,991,0,14721,96714,1657,636,681,34130,6448,393,1811,11442,5493,98,38,24
"2159","PINCKNEYVILLE PUBLIC LIBRARY","IL","CI",5066,1,0,0,0,1.45,74579,0,4523,1675,456,0,10551,43807,923,115,0,10349,6783,195,751,5727,957,993,800,1607
"2160","PIPER CITY PUBLIC LIBRARY DISTRICT","IL","LD",1021,1,0,0,0,1.3,49578,0,5747,0,0,0,9419,133542,482,217,702,72447,2051,181,390,2161,498,147,237,347
"2161","PITTSFIELD PUBLIC LIBRARY","IL","CI",4206,1,0,0,0,3.23,171427,0,11409,300,838,0,30433,68964,1786,1893,0,21966,21268,823,1640,30732,5319,902,3077,1410
"2162","PLAINFIELD PUBLIC LIBRARY DISTRICT","IL","LD",79055,1,0,0,14,21.4,4614321,0,179467,249664,56984,156252,115820,81653,12259,10345,0,33717,90611,30600,90646,432290,246425,7726,33413,74826
"2163","PLANO COMMUNITY LIBRARY DISTRICT","IL","LD",14092,1,0,0,1,2,960562,0,32649,5028,8037,0,45821,112604,7487,2983,835,33186,33142,2961,7816,59959,36012,8465,9743,9894
"2164","POLO PUBLIC LIBRARY DISTRICT","IL","LD",2692,1,0,0,0,1,207316,0,7963,1144,1404,0,11302,67264,2208,523,835,14493,7529,923,2495,11807,5198,616,1688,2398
"2165","PONTIAC PUBLIC LIBRARY","IL","CI",11150,1,0,0,1,1,386015,78000,22748,1551,4489,78000,48111,57910,3758,3480,2,25073,20530,1827,5260,32818,7519,907,5155,4850
"2166","POPLAR CREEK PUBLIC LIBRARY DISTRICT","IL","LD",65645,1,1,0,15.56,15.56,6213404,1952365,124121,106334,34809,229728,144283,719037,15755,5192,88454,186149,127835,25990,39604,209977,111782,14418,9604,5303
"2167","POTOMAC PUBLIC LIBRARY DISTRICT","IL","CI",1195,1,0,0,0,0.38,52539,0,166,0,0,0,4860,0,452,161,0,0,1358,101,0,483,307,25,0,79
"2168","PRAIRIE TRAILS PUBLIC LIBRARY DISTRICT","IL","LD",30376,1,0,0,5.31,9.74,2090662,0,131296,64209,12152,457697,83161,92798,7522,6145,752,42600,27247,3508,9288,75638,37737,10855,11137,9646
"2169","PRINCETON PUBLIC LIBRARY","IL","CI",7832,1,0,0,2,3,497759,0,29477,3666,2579,564787,64116,121860,3556,2419,1053,38466,42625,2321,9320,27570,13892,2300,6250,6833
"2170","LILLIE M. EVANS LIBRARY DISTRICT","IL","LD",3840,1,0,0,1,1.8,460100,25000,22567,19344,3327,3504,27739,77062,4051,1753,11,26713,18893,1134,2916,32026,16831,966,5431,7716
"2171","HENRY C. ADAMS MEMORIAL LIBRARY","IL","CI",1946,1,0,0,0,0.5,62618,0,5678,1500,0,5703,14367,5535,282,362,0,367,6300,316,597,4304,554,1700,796,1395
"2172","PROSPECT HEIGHTS PUBLIC LIBRARY DISTRICT","IL","LD",15044,1,0,0,8.81,8.81,3812660,0,113294,108607,35934,107270,73036,59128,8351,7849,11373,28742,59604,5565,36276,172880,100053,4756,19556,9190
"2173","PUTNAM COUNTY PUBLIC LIBRARY DISTRICT","IL","LD",5635,1,5,0,0.48,1.35,452016,0,44027,12614,0,0,26184,40000,5855,1621,0,17000,7558,1675,6021,18313,7300,672,5341,6036
"2174","QUINCY PUBLIC LIBRARY","IL","CI",39463,1,0,0,7,8,3651209,0,151820,75739,44570,91699,140679,39676,14868,8780,2,7884,80722,18704,54666,315078,116078,17292,42481,27830
"2175","RANTOUL PUBLIC LIBRARY","IL","CI",12371,1,0,0,2,2,541813,0,31528,9595,3963,0,62815,211842,3240,3318,1081,74204,30482,1955,6223,21454,6507,4508,8641,7533
"2176","RED BUD PUBLIC LIBRARY","IL","CI",3804,1,0,0,0,1.33,131421,0,5689,450,106,0,17659,19514,754,934,0,10349,7079,504,1732,10188,4149,382,1841,4683
"2177","RICHTON PARK PUBLIC LIBRARY DISTRICT","IL","LD",11738,1,0,0,2.81,2.81,1410429,0,51966,36973,6541,36106,66862,58960,7245,5316,1279,22399,20572,5591,4090,22810,7375,4989,11362,2507
"2178","ELWOOD LIBRARY DISTRICT","IL","CI",1459,1,0,0,0,0.78,66117,0,3192,233,561,1664,10334,133542,435,98,702,72447,796,102,940,2837,1104,6,1014,1637
"2179","RIVER FOREST PUBLIC LIBRARY","IL","CI",11717,1,0,0,7.26,7.26,1509998,0,69832,73972,17437,54282,39831,74525,6630,2107,1305,18549,77387,5528,53025,173725,100553,5869,9610,19100
"2180","RIVER GROVE PUBLIC LIBRARY DISTRICT","IL","LD",10578,1,0,0,2.2,3.98,600662,0,18251,52631,10860,579549,15987,7084,3310,531,47,2756,10859,3303,9899,18398,6807,1927,6268,3128
"2181","RIVER VALLEY DISTRICT LIBRARY","IL","LD",5153,1,0,0,0.61,4.7,520528,0,23370,16199,21616,0,27653,13278,9962,5118,575,6015,24169,1589,7022,34738,18586,586,7412,6970
"2182","RIVERDALE PUBLIC LIBRARY DISTRICT","IL","LD",10758,1,0,0,2,2,715523,0,7184,0,0,0,21290,48764,1073,292,1126,11886,4058,1879,9801,2098,2926,2556,1701,400
"2183","ROBERT R. JONES PUBLIC LIBRARY DISTRICT","IL","LD",4855,1,0,0,0,2,343242,0,24740,6250,6000,0,34597,84723,4372,1688,806,24132,18928,1780,9785,16159,11385,1648,5415,5210
"2184","ROBINSON PUBLIC LIBRARY DISTRICT","IL","LD",14676,1,3,0,0,1.13,932401,0,34641,11528,6766,123799,75272,43855,7236,882,0,31326,43596,1838,4263,38436,13147,4941,9283,10967
"2185","FLAGG-ROCHELLE PUBLIC LIBRARY DISTRICT","IL","LD",13296,1,0,0,0.94,1.88,628753,0,27188,8997,600,0,45542,46800,1313,951,20526,21134,21080,3453,13528,16524,12507,2880,3709,6527
"2186","ROCHESTER PUBLIC LIBRARY DISTRICT","IL","LD",7540,1,0,0,0,6,524524,0,18013,5640,2350,0,29925,82380,3573,2244,110,27377,33180,6221,37435,58877,31966,2598,16545,15026
"2187","ROCK FALLS PUBLIC LIBRARY DISTRICT","IL","LD",10570,1,0,0,0,1,282550,0,20069,3500,1074,0,30478,33209,1458,289,0,5352,28486,3885,5082,19730,9765,3120,1487,947
"2188","ROCK ISLAND PUBLIC LIBRARY","IL","CI",37108,1,1,1,7,12,2597281,1274401,235581,140508,7530,1252497,157034,8687,16754,10456,15,420,82245,13599,74393,135981,35254,6251,382,167
"2189","ROCKFORD PUBLIC LIBRARY","IL","CI",148655,1,3,1,12,12,9360728,953919,295964,663783,154338,258991,160934,71781,30629,14058,8418,45714,232907,35215,184854,430729,161934,29408,88020,28492
"2190","ROLLING MEADOWS LIBRARY","IL","CI",24200,1,0,0,10.15,14.99,3984420,120000,248423,162004,45540,35340,157310,6089,14046,13318,25,1930,59457,15363,32998,143389,74171,10772,1767,2999
"2191","ROODHOUSE PUBLIC LIBRARY","IL","CI",1578,1,0,0,0,0.63,56399,50591,2500,300,25,5000,20218,53854,1500,500,0,32723,5726,364,171,10251,958,927,4343,3715
"2192","ROSELLE PUBLIC LIBRARY DISTRICT","IL","LD",22744,1,0,0,6.75,12.13,2290696,0,101575,75638,34498,112860,79856,89387,10379,5961,37,35029,38992,13987,52236,128483,87069,5853,313,112
"2193","ROSICLARE MEMORIAL PUBLIC LIBRARY","IL","CI",980,1,0,0,0,0.59,52433,0,4186,375,12,0,12151,43807,636,119,0,10349,4921,157,112,2652,620,875,1353,417
"2194","ROUND LAKE AREA PUBLIC LIBRARY DISTRICT","IL","LD",39675,1,0,0,9.38,15.48,3401972,0,160503,103105,56414,0,100981,143402,14325,10978,1772,76257,78384,5473,25800,130700,68953,7514,19588,10133
"2195","ROXANA PUBLIC LIBRARY DISTRICT","IL","LD",1476,1,0,0,1,1,462538,0,11100,4080,1701,6460,18051,73623,3055,975,140,36694,14024,271,1574,9054,3930,5586,4649,2643
"2196","ROYALTON PUBLIC LIBRARY DISTRICT","IL","LD",1068,1,0,0,0,0.53,31561,26613,1871,0,0,6561,7806,0,54,149,0,0,2017,86,0,851,73,48,920,677
"2197","RUSHVILLE PUBLIC LIBRARY","IL","CI",3005,1,0,0,0,2,70639,0,9575,2666,0,0,26835,63088,512,811,2,21966,33274,712,1748,15507,3541,11935,2686,1965
"2198","SAINT CHARLES PUBLIC LIBRARY DISTRICT","IL","LD",55889,1,0,0,22.91,24.79,8466076,0,364635,843315,106826,1782238,200595,119983,23145,21849,6770,58959,227231,31630,105031,798325,398042,14939,37440,64514
"2199","SAINT ELMO PUBLIC LIBRARY DISTRICT","IL","LD",6064,1,2,0,0,3.15,226231,0,11880,1600,4109,0,35466,29510,4332,614,103,4770,7769,573,3107,11249,2348,624,6875,2867
"2200","SAINT JOSEPH TOWNSHIP-SWEARINGEN MEMORIAL LIBRARY","IL","CI",5598,1,0,0,1,1,174675,0,17563,4320,8689,0,24268,147306,2549,2979,691,94614,12091,1381,7638,25624,12276,0,9318,8531
"2201","BRYAN-BENNETT LIBRARY","IL","CI",7282,1,0,0,0,1,269840,0,20852,500,3529,4519,33847,54156,1516,920,0,10349,29380,592,3501,21365,6401,1089,25776,24527
"2202","SALEM TOWNSHIP PUBLIC LIBRARY DISTRICT","IL","LD",1117,1,0,0,0,1.5,77399,0,5337,440,815,0,13050,66610,1932,75,0,23351,3264,258,514,5787,1728,441,1209,880
"2203","SANDWICH PUBLIC LIBRARY DISTRICT","IL","LD",7714,1,0,0,1,3.05,719221,0,22719,11617,5461,0,31622,97995,4462,2193,29101,21858,26049,1555,5833,32125,11741,2061,5579,6236
"2204","SAVANNA PUBLIC LIBRARY DISTRICT","IL","LD",3748,1,0,0,0.5,0.5,177502,0,8261,390,200,0,17563,0,632,198,0,0,1960,2298,0,5788,1841,1249,14,375
"2205","SCHAUMBURG TOWNSHIP DISTRICT LIBRARY","IL","LD",130345,1,2,0,33.84,43.12,17564142,0,778913,667235,97397,123137,349084,175842,41473,31278,7975,102855,437732,38545,237435,1789851,788229,52149,5625,6124
"2206","SCHILLER PARK PUBLIC LIBRARY","IL","CI",11709,1,0,0,2,4,1420414,0,85127,5671,6899,117340,44937,64199,3092,4067,1178,15022,20280,1295,2693,20089,11349,3249,5128,2717
"2207","SCHMALING MEMORIAL PUBLIC LIBRARY DISTRICT","IL","LD",3647,1,0,0,1.5,2.26,170197,600,17631,448,2438,600,22930,38803,1787,673,0,18535,9880,650,845,19730,11075,371,2609,2702
"2208","SELBY TOWNSHIP LIBRARY DISTRICT","IL","LD",2159,1,0,0,0,0.55,79057,0,2739,380,58,0,10103,38072,852,334,0,18452,2792,420,110,1821,243,453,0,183
"2209","SENECA PUBLIC LIBRARY DISTRICT","IL","LD",4406,1,0,0,0.94,3.44,773918,0,80507,6002,13427,0,59308,781762,3797,2457,25680,201550,12000,815,7548,16411,9900,153,8410,2226
"2210","SESSER PUBLIC LIBRARY","IL","CI",1888,1,0,0,0,0.85,54444,12793,747,0,0,0,8549,43892,0,0,0,54338,2051,434,449,1930,453,200,2486,496
"2211","FLEWELLIN MEMORIAL LIBRARY","IL","CI",863,1,0,0,0,0.58,50819,0,2349,1561,0,0,13833,33500,810,172,0,12500,1414,137,224,2000,688,165,0,12
"2212","SHAWNEETOWN PUBLIC LIBRARY","IL","CI",1054,1,0,0,0,0.65,22403,0,1104,229,0,0,7964,0,97,76,17,0,1778,49,30,456,213,91,561,227
"2213","SHEFFIELD PUBLIC LIBRARY","IL","CI",821,1,0,0,0,0.35,30392,0,2958,250,658,0,7591,45060,407,34,0,18303,1019,337,140,1413,790,114,476,493
"2214","SHELBYVILLE PUBLIC LIBRARY","IL","CI",4674,1,0,0,0,1,295803,0,32990,10761,3250,0,23476,73210,1340,780,103,15127,12125,707,3782,26021,13177,1296,10463,5707
"2215","SHELDON PUBLIC LIBRARY DISTRICT","IL","LD",1638,1,0,0,1,1.13,142938,0,6343,0,0,11535,15309,56343,2768,452,266,30721,9911,212,1780,2631,1316,1344,1817,680
"2216","SHERRARD PUBLIC LIBRARY DISTRICT","IL","LD",6232,1,0,0,1,2.75,231776,0,24649,2000,5857,0,25285,78519,4652,879,1053,22995,17042,1383,5417,28922,16727,576,3098,2703
"2217","SHOREWOOD-TROY PUBLIC LIBRARY DISTRICT","IL","LD",21780,1,0,0,5.63,10.63,1586200,0,95934,61155,19930,0,36382,37203,3910,1605,798,13031,50914,6045,31057,154045,79836,2843,22151,38076
"2218","SIDELL DISTRICT LIBRARY","IL","LD",1605,1,0,0,0,0.9,116764,0,8568,493,1978,0,16709,160,1530,169,0,0,2669,141,160,6086,544,240,1419,468
"2219","SIDNEY COMMUNITY LIBRARY","IL","CI",1208,1,0,0,0,0,31327,0,1257,171,73,0,10317,112223,2207,152,0,0,2925,227,978,3619,487,678,4204,1639
"2220","SILVIS PUBLIC LIBRARY","IL","CI",8003,1,0,0,0,1.95,356173,0,28067,1500,4143,19662,13954,45494,1880,443,802,8287,19477,1436,5577,19124,5912,2577,2625,5563
"2221","SKOKIE PUBLIC LIBRARY","IL","CI",67824,1,0,1,28.05,50.64,13345085,1198300,502423,599240,172706,3815182,269085,269402,47477,21097,39789,52469,352521,54566,100000,1151688,640822,29421,10857,10961
"2222","SOMONAUK PUBLIC LIBRARY DISTRICT","IL","LD",9255,1,0,0,1,1,788036,0,57881,8550,14339,0,54796,43250,5021,3555,726,18570,70711,2181,3465,32451,11675,15605,5943,6818
"2223","SOUTH BELOIT PUBLIC LIBRARY","IL","CI",7989,1,0,0,0,1,326736,0,13072,3310,3494,3248,15633,72247,2080,267,1051,18987,6124,788,4135,10687,4502,1183,1973,2870
"2224","SOUTH COUNTY PUBLIC LIBRARY DISTRICT","IL","LD",1122,1,0,0,0,0,33038,0,1617,0,0,0,8000,0,200,12,0,0,6550,531,0,2186,879,115,0,1370
"2225","SOUTH HOLLAND PUBLIC LIBRARY","IL","CI",21465,1,0,0,8.4,14.13,2268585,0,61607,20289,25330,173654,44567,132537,12230,3940,1475,47789,42986,3982,7745,58769,12504,14301,13487,6972
"2226","SPARTA PUBLIC LIBRARY","IL","CI",4095,1,0,0,0,0.88,231892,0,11200,3450,2373,0,15650,43879,438,555,0,10215,7958,441,784,8846,2699,2871,2037,1650
"2227","SPOON RIVER LIBRARY DISTRICT","IL","LD",3106,1,0,0,0,0.45,180164,0,6578,0,2400,0,10421,24010,1734,46,2,3406,3210,679,1084,3739,1437,48,926,945
"2228","RICHARD A. MAUTINO MEMORIAL LIBRARY","IL","CI",5582,1,0,0,0,1.23,174504,0,13841,8470,1381,0,30096,32064,1742,1462,689,4920,8944,711,2340,12330,4628,951,2550,2012
"2229","LINCOLN LIBRARY","IL","CI",114394,1,0,0,15,15.94,4934579,0,225803,219300,29830,0,190481,109999,13559,19210,9980,36961,130380,28082,124732,318431,122732,13917,1701,3605
"2230","ALLIN TOWNSHIP LIBRARY","IL","CI",877,1,0,0,0,0.7,51906,0,4470,400,559,325,10007,0,1884,30,0,0,1248,355,0,678,70,52,0,0
"2231","STAUNTON PUBLIC LIBRARY","IL","CI",5054,1,0,0,0,0.63,116406,0,8950,410,2400,0,16094,43807,124,134,0,0,4000,1181,1672,1957,1082,500,1661,4892
"2232","STEELEVILLE AREA PUBLIC LIBRARY DISTRICT","IL","LD",4182,1,0,0,1,1,130572,0,7966,450,1189,0,17546,43855,1034,415,0,10456,9329,403,1544,12053,6231,249,1398,3306
"2233","STEGER-SOUTH CHICAGO HEIGHTS PUBLIC LIBRARY DISTRICT","IL","LD",13869,1,0,0,1.75,1.75,518549,0,22587,3795,5089,0,26086,103405,3323,1237,1267,21728,7488,6031,4217,18442,10480,6240,4374,4206
"2234","STERLING PUBLIC LIBRARY","IL","CI",14764,1,0,0,1,4,1007000,0,47003,29007,19066,5801,50245,40916,2216,1713,1200,19456,6235,7261,12199,49571,23752,3097,1601,2302
"2235","STICKNEY-FOREST VIEW PUBLIC LIBRARY DISTRICT","IL","LD",10833,1,0,0,3.88,10.38,1912639,0,19464,22906,5978,0,29830,76629,3744,1868,1562,22120,25994,1740,3418,35202,19892,4200,5084,5145
"2236","JULIA HULL DISTRICT LIBRARY","IL","LD",8022,1,0,0,1,1,290580,0,28343,4966,7882,0,26644,103829,3588,1906,880,31103,7356,1231,6946,21332,11850,610,3185,5131
"2237","STOCKTON TOWNSHIP PUBLIC LIBRARY","IL","CI",2282,1,0,0,0,1.4,85368,0,5130,1888,100,0,17011,83750,2097,444,802,26075,2349,542,2440,9967,4094,349,1701,3095
"2238","STONINGTON TOWNSHIP PUBLIC LIBRARY","IL","CI",993,1,0,0,0,0.9,40017,0,3230,0,0,0,18183,43879,250,10215,0,0,2447,135,225,2890,1294,30,3720,2890
"2239","STREATOR PUBLIC LIBRARY","IL","CI",12500,1,0,0,1,2.53,564792,0,27000,4000,545,0,39667,113489,1385,741,0,1075,30168,2497,166789,41134,16633,2973,4530,3839
"2240","SUGAR GROVE PUBLIC LIBRARY DISTRICT","IL","LD",16114,1,0,0,2.88,2.88,736582,882012,36181,30848,13529,968320,48550,112039,4808,5312,430,49209,45368,7357,23436,90907,49625,1458,7892,17084
"2241","ELIZABETH TITUS MEMORIAL LIBRARY","IL","CI",4413,1,0,0,0,3,261391,0,20668,8746,1956,0,44947,73672,2891,1584,103,15338,33978,1953,3376,41619,12925,5602,5580,5222
"2242","SYCAMORE PUBLIC LIBRARY","IL","CI",18577,1,0,0,4.65,4.65,1376499,0,73578,40301,15413,0,72128,76061,6919,5880,849,20143,72349,6309,29863,146360,72846,3449,15491,23626
"2243","TALCOTT FREE LIBRARY DISTRICT","IL","LD",11060,1,0,0,3.13,5.89,745574,0,38392,15814,5107,447353,45141,45478,3126,2410,803,8557,25283,3221,12364,50717,24471,6890,8583,6392
"2244","TAYLORVILLE PUBLIC LIBRARY","IL","CI",10506,1,0,0,1,2,353364,24701,33622,0,0,12043,26948,30581,2318,1138,103,34188,13389,1523,6768,36742,3330,1921,3361,5466
"2245","YORK TOWNSHIP PUBLIC LIBRARY","IL","CI",2740,1,0,0,0,0.7,77773,0,11152,379,325,0,16634,67258,897,555,0,18303,1920,857,1193,9819,2606,115,1234,1152
"2246","THORNTON PUBLIC LIBRARY","IL","CI",2386,1,0,0,0,1.88,225221,0,9268,1401,8920,0,25112,27713,2245,1130,6,7794,3307,881,160,8269,1791,797,2931,1732
"2247","THREE RIVERS PUBLIC LIBRARY DISTRICT","IL","LD",28751,1,1,0,3.75,5.63,2351661,0,85075,89660,32552,35727,64565,110076,8765,7614,841,31260,50600,9379,29970,104746,49216,3990,13174,15571
"2248","TINLEY PARK PUBLIC LIBRARY","IL","CI",55971,1,0,1,17.13,17.13,6369064,201954,256621,224127,81124,201954,148627,53697,13940,12723,7289,20551,157136,30720,96941,514937,226944,8949,43148,46304
"2249","TISKILWA PUBLIC LIBRARY","IL","LD",1358,1,0,0,0,1.88,122914,0,10724,2923,800,0,17160,45478,1128,787,803,8557,6346,821,1320,6675,2305,400,0,167
